场站名称,省份,市区,区/县,详细地址,负责人,设备MAC地址,设备ICCID,设备场站序号,vpnIP,产品型号
河南新乡心连心大道渤海物流园充电站,河南省,新乡市,红旗区,南环心连心大道渤海物流园,姬铭阳,22:36:23:a6:aa:56," 898604F7192392293684",4号桩,168.55.1.232,320kw
河南新乡心连心大道渤海物流园充电站,河南省,新乡市,红旗区,南环心连心大道渤海物流园,姬铭阳,9a:e2:ff:e1:64:b3," 898608331924D0854160",3号桩,168.55.1.179,320kw
五竹镇正小路侯家庙桥,陕西省,西安市,鄠邑区,五竹镇正小路侯家庙桥,解洪宽,d6:39:57:8e:32:f9," 89860464192570040451",1号桩,168.55.0.37,320kw
公牛河南省郑州市巩义速畅充电站,河南省,郑州市,上街区,长寿山,姬铭阳,0a:ac:7a:9d:9b:9a," 89860440192390023744",1号桩,168.55.2.121,160kw/1-4
浙江湖州安吉五福村委充电站,浙江省,湖州市,安吉县,五福村委,包拯,3a:cb:14:a9:73:ca," 898608331924D0854476",1号桩,168.55.1.149,160kw/1-4
海南御景酒店充电站,海南省,省直辖县级行政区划,五指山市,海南省五指山市水满乡水满路,符焕相,1e:35:92:b2:00:94," 898607B11924C0337871",1号桩,168.55.2.228,160kw/1-4
河北邢台宁晋公牛充电桩众辉充电站,河北省,邢台市,宁晋县,河北宁晋公畅顺加油站南100米牛充电桩众辉快充站,张立波,a2:55:ae:ae:5e:8d," 898607B11924C0334160",1号桩,168.55.3.32,160kw/1-4
西安鄠邑区五竹街道五竹村充电站,陕西省,西安市,鄠邑区,五竹街道五竹村充电站,杜祥,ba:54:6a:06:36:24," 898608331924D0854095",1号桩,168.55.3.160,120kw
洋洲新能源蔡家坡充电站,陕西省,宝鸡市,,蔡家坡镇青山利工机械设备租赁有限责任公司门口,李一睿,ba:09:4b:52:0c:52," 89860440192390022642",1号桩,168.55.6.11,160kw/1-4
河北省邢台市隆尧高速口东边S327省道充电站,河北省,邢台市,隆尧县,尹村镇祁南线高速路口,张立波,76:16:9b:42:92:ed," 898608331924D0854945",1号桩,168.55.1.216,160kw/1-4
